@relation disaster_tweets

@attribute text string
@attribute class_attr {derailment, fire, crash, wildfire, earthquake, bombings, shooting, flood, building_collapse, typhoon, explosion}

@data
'console family survivor  blast   president thursday',explosion
'hour  be prepare  west ',explosion
'world come end explosion  amp half country flood great',explosion
'go  fertilizer factory explode fertilizer production facility',explosion
'death toll rise  blast',explosion
'explosion  plant',explosion
'picture west fire please pray family small town',explosion
'watch  explosion coverage fox death destruction hop best',explosion
'shelter resource victim',explosion
' fertilizer company heed disclosure rule fertilizer plant have last year be store t',explosion
'news people may dead result fertilizer plant explosion',explosion
'picture  fertilizer plant blast',explosion
're still think west ',explosion
'video capture  fertilizer plant explosion',explosion
'west  fertilizer plant year no full inspection ton ammonium explode',explosion
'doctor report  explosion nobody know number death ',explosion
'houston remove tweet claim have be confirm dead west ',explosion
'cool cat man miss boston bomb then miss  fertilizer plant explosion',explosion
'fuck happen  explosion world get day man',explosion
'usa have rough wee',explosion
'heart break america people have lose live week',explosion
'people act like  bomb fertilizer plant explode so quit overreact say',explosion
'wake up see real damage  explosion cause',explosion
' authority report dead over injure fertilizer plant explosion',explosion
'explosion report fertilizer plant west co',explosion
' plant blow up carry m policy  fertilizer plant explode last month',explosion
' fertilizer plant explosion register earthquake building',explosion
'continue coverage fertilizer plant explosion share think',explosion
'firefighter still miss fire blast fertilizer plant say police',explosion
'story fertilizer plant explosion plant fell crack',explosion
'guy please remember can donate blood today gather up item displace family',explosion
'least people injure west  plant explosion department public safety spokesperson',explosion
'prayer affect explosion  god',explosion
'explosion fertilizer plant near  cause injury send flame sky',explosion
'explosion ',explosion
'bomb boston earthquake japan bomb oregon now explosion  happen week',explosion
' cry today explosion',explosion
'explosion catch video dad record video fertilizer plant fire then explode',explosion
'remember amaze explosion meteor check  one',explosion
'authorities fertilizer plant explode near   apr',explosion
'criminal investigation launch over  fertilizer plant explosion material found',explosion
' plant explosion reveal gap workplace safety laws',explosion
'rescue hamper wind death toll still unknown follow live update',explosion
'remember west  disaster claim live',explosion
'trust lord shoo typhoon',typhoon
'look ways donate victim check out list',typhoon
'wind get now can hear rain help us',typhoon
'ano bang si pa  brace typhoon return',typhoon
'death toll now',typhoon
'child stand wreckage village sur more help need',typhoon
'little cold outside today scare go outside cause typhoon head way dead so goodby',typhoon
'typhoon make landfall over oriental december',typhoon
'river now still rise',typhoon
