'think family business affect donation go',fire
'good mart mark talk sport reckon can smell bush fire sydney',fire
' wildfire still burn out control authority warn high temp wind keep heighten fire danger',fire
'group near fire one',fire
'effort  try contain  fire scene loss pray',fire
'official least bush fire rage  state emergency declare',fire
'see call triple zero please do call report',fire
'send love support who have lose home live fire  send love way',fire
'relief crew arrive be now head back station coach long day good luck night crew',fire
'commissioner use today prepare use tonight check bush fire survival plan',fire
'please help support rf blue mountain appeal help suffer  fire',fire
'sw wind expect today',fire
'nina spare outside house amaze',fire
'think prayer affect  fire stay safe',fire
'yes fire  experience year record',fire
'there link climate change un expert say think talk hat say mr',fire
'sign government follow outsource science',fire
'n military probe fire link  military investigate train exercise use',fire
'al gore throw climate lie blame  fire climate change',fire
'satellite image show extent',fire
'blood red sky over tom bridge south sydney photo lane amaze',fire
'pack out hall high community meet',fire
'north fire take off',fire
'acre burn  latest bush fire incident heavy damage',fire
'let forget fire down idiot report sydney morning herald oct',fire
'miracle  fire kill premier',fire
'blaze fire air live northern beach sydney hour east blue mountain',fire
'resource place last resort option rf survival plan implement',fire
'two fire sydney water sydney aquatic centre week do fire develop',fire
'hop over concern',fire
'wildfire threaten sydney more fire rage ',fire
' fire investigator say military exercise may cause',fire
'know poor form cut fire brigade budget amp close fire station sydney',fire
'former rf commissioner warn concern burn property',fire
'house thermometer melt due intensity flame',fire
'one year record year  worst fire there no connection',fire
'stay safe sydney fire crazy',fire
'amp crew scene work contain fire park lake near old pacific highway swan',fire
'strike image sister sydney seven major burn south wale',fire
'roll coverage',fire
'strike image sister sydney seven major burn south wales',fire
'ne mount type bush fire status out control size ha map',fire
'rain sydney radar smoke plume fire travel coast nw wind',fire
'get update listen live stream',fire
'it so great see hear well country pull get',fire
'amaze summer even start  it forest fire',fire
'use fire near me phone american tv network fire information',fire
'update fire burn drop temperature wind authorities warn crisis fa',fire
'stop fan flame climate change sign now',fire
'information employment protection  rf member involve current fire',fire
'wait fire front asset protection duty',fire
'fire cross river burn area',fire
'oh god amaze photo one bush fire burn ',fire
'hall emergency alert telephone message be send people wilton area',fire
'photo firefighter engulf flame crawl out ok',fire
'mate amp adam try protect home fire balcony',fire
'whole  fire oh america',fire
'water bomb hartley vale afternoon',fire
'be plan worst hope best',fire
'pilot confirm dead crash fight fire west body retrieve rip',fire
'sky local news sydney fire adelaide fire perth fire melbourne horse race brisbane no one use',fire
'wonder why  freak out right now state look like diamond fire',fire
'there more fire  remain',fire
'weather fear  fire burn more firefighter  ba',fire
'house burn street close school hundred child catch middle',fire
'thank dozen fire truck personnel have travel  interstate help today',fire
'fire sydney blue mountain have destroy home',fire
'fire today stuff',fire
'five police officer blue mountain fight fire evacuate resident while own home burn down',fire
'firefighter use twitter map respond  crisis',fire
'photo show sign respect victim  fire',fire
'wow cant believe disgust air here down',fire
'photo live shoot abc helicopter smoke over fire',fire
'link  bush fire climate change majority cause human',fire
'way donate people affect  bush fire xxx',fire
'fire park sydney',fire
'abc report light ember fall water',fire
'amaze amaze photo one bush fire burn ',fire
'total fire ban be declare sydney region sunday october',fire
'think amp prayer victim ambo police so fight fire pray thing get',fire
'medium student geordie record blue mountain',fire
'difference year make',fire
'do acknowledge have series major fire summer',fire
'people queue over hour tip blue council open up tip',fire
'redhead fire wind change look worse newcastle',fire
'n pm must glad climate change crap amp part natural cycle',fire
'boy plead light',fire
'so drive see have do here',fire
' fire military investigate blaze military reveal conduct explosive train',fire
'fire   so over hundred house destroy live minutes',fire
' watch act webb creek bush fire burn',fire
'think amp best wish go out affect fire  central coast stay safe',fire
'amaze photo amaze people think best wish affect involve',fire
'text donate relief donate fund go work amp',fire
'sydney suburb threaten fire grow wildfire threaten western suburb  city as',fire
'report chopper crash fight fire near',fire
' upset firefighter show spirit over budget',fire
'here fall accord report way',fire
'sydney fire cause people nature',fire
'pilot die battle  fire plane fight  south wales crash',fire
' fire threat avert n fire official say threat blue mountain west',fire
'amp have be busy blue one rescue guy',fire
'listen sydney off volunteer firefighter who then while out lose own home fire',fire
'get burn cinder fight show asbestos bishop become',fire
'update fire burn home destroy damage ',fire
'thank who continue work state photo',fire
'yes good rain',fire
'hop amp pray no more or fire today amp tomorrow send best wish amp affect',fire
'video be plan worst hope best  declare fire emergency',fire
'picture  fire blaze',fire
'spread fire house ash ',fire
'sydney real estate wind fuel redhead fire prompt return watch act house',fire
'asbestos contamination risk recovery rf commissioner',fire
'minute matter tomorrow ready leave commissioner call fire threaten community',fire
'sun set',fire
'tough fire day out there change hit min sydney hour port stephen good luck rf amp resident',fire
'personnel interstate receive brief commissioner morning thank support',fire
'suggest right now fight fire',fire
'military live ordinance exercise cause one fire rage',fire
'hat off fire fighter who fight fire right ',fire
'fire fire be downgrade advice alert level',fire
'fire threat  blue mountain avert news sydney morning threat ',fire
'more information  fire please call or visit page',fire
'man lose his house  fire know come year fuel build up green council burn',fire
'bless amp deed do people n  bush fire spirit',fire
'take care smoke tip asthma  foundation',fire
'bush fire sydney today feel like be movie',fire
'state mine fire fire be downgrade watch amp act',fire
'sea amp personnel brief head',fire
'bush fire  feel affect air smell like burn eucalyptus even live',fire
'amaze photo friend road',fire
'video aerial view show extent fear three blaze merge',fire
'image w general manager zig zag railway michael burn carriage',fire
'top story  bush fire threat ease wildfire threaten western suburb austral',fire
' fire man die home destroy',fire
'update fire still burn emergency information fire call',fire
'watch fire sydney think out resident wildlife affect tragedy',fire
'send lot love affect  fire',fire
